note_t-2,note_t-1,label
AS4,A4,C5
A4,C5,AS4
C5,AS4,G4
AS4,G4,C4
G4,C4,C4
C4,C4,E4
C4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,AS4
G4,AS4,G4
AS4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,A4
G4,A4,F4
A4,F4,C4
F4,C4,C4
C4,C4,F4
C4,F4,F4
F4,F4,A4
F4,A4,A4
A4,A4,C5
A4,C5,A4
C5,A4,C5
A4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,C5
A4,C5,AS4
C5,AS4,G4
AS4,G4,C4
G4,C4,C4
C4,C4,E4
C4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,AS4
G4,AS4,G4
AS4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,A4
G4,A4,F4
A4,F4,C4
F4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,C4
A4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,F4
A4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,D4
E4,D4,D4
D4,D4,C4
D4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C4
G4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,F4
G4,F4,C4
F4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,C4
A4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,F4
A4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,D4
E4,D4,D4
D4,D4,C4
D4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C4
G4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,F4
G4,F4,0
F4,0,DS4
0,DS4,GS4
DS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,DS4
GS4,DS4,F4
DS4,F4,F4
F4,F4,DS4
F4,DS4,DS4
DS4,DS4,GS4
DS4,GS4,GS4
GS4,GS4,AS4
GS4,AS4,AS4
AS4,AS4,C5
AS4,C5,GS4
C5,GS4,C5
GS4,C5,C5
C5,C5,CS5
C5,CS5,CS5
CS5,CS5,CS5
CS5,CS5,AS4
CS5,AS4,AS4
AS4,AS4,C5
AS4,C5,C5
C5,C5,C5
C5,C5,GS4
C5,GS4,GS4
GS4,GS4,AS4
GS4,AS4,AS4
AS4,AS4,AS4
AS4,AS4,GS4
AS4,GS4,G4
GS4,G4,DS4
G4,DS4,F4
DS4,F4,G4
F4,G4,GS4
G4,GS4,GS4
GS4,GS4,DS4
GS4,DS4,GS4
DS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,DS4
GS4,DS4,F4
DS4,F4,F4
F4,F4,DS4
F4,DS4,DS4
DS4,DS4,GS4
DS4,GS4,GS4
GS4,GS4,AS4
GS4,AS4,AS4
AS4,AS4,C5
AS4,C5,GS4
C5,GS4,C5
GS4,C5,C5
C5,C5,CS5
C5,CS5,CS5
CS5,CS5,CS5
CS5,CS5,AS4
CS5,AS4,AS4
AS4,AS4,C5
AS4,C5,C5
C5,C5,C5
C5,C5,GS4
C5,GS4,GS4
GS4,GS4,AS4
GS4,AS4,AS4
AS4,AS4,AS4
AS4,AS4,GS4
AS4,GS4,G4
GS4,G4,DS4
G4,DS4,F4
DS4,F4,G4
F4,G4,GS4
G4,GS4,GS4
